ARTWORKNAM	Nbhd#	Ward#(25)	Ward Name (25)	ADDRESS	POSTAL_COD	POSTCODE2	X_COORDI	Y_COORDI	PARK_NAME	NEAR_ST	NEAR_CST	ARTIST	MEDIA	DATE	INDOORS_OU
"POET (THE), THE FEVER HOSPITAL"	77	10	Spadina-Fort York	60 SIMCOE ST	M5J 2H5	M5J2H5	313889.243	4833846.99	DAVID PECAUT SQUARE	KING ST W	SIMCOE ST	"MILLER, BERNIE"	"MIXED METAL, MASONRY"	1992	OUTDOORS
SPADINA LINE	96	12	Toronto-St. Paul's	239 SPADINA RD	M5R 2V2	M5R2V2	312248.421	4837059.384		MACPHERSON AVE	SPADINA RD	"GOLDEN, BRAD & RICHARDS, NORMAN"	"STAINLESS STEEL, PAINTED STEEL"	1992	OUTDOORS
WRITING IN STONE	113	5	York South-Weston	55 JOHN ST	M5V 3C6	M5V3C6	313744.526	4833807.474		JOHN ST	KING ST W	"CLARK, DOUGLAS"	PHOTOGRAPHY	1992	INDOORS
PLANTERS	113	5	York South-Weston	55 JOHN ST	M5V 3C6	M5V3C6	313745.230	4833808.141		JOHN ST	KING ST W	"MORIYAMA, JONI"	CERAMIC	1992	INDOORS
FOUR COMISSIONED PHOTOGRAPHS	113	5	York South-Weston	55 JOHN ST	M5V 3C6	M5V3C6	313745.413	4833807.495		JOHN ST	KING ST W	SHOUB. JACLYN	PHOTOGRAPHY	1992	INDOORS
DO WE NEED PERMISSION TO DESTROY THE NATURAL WORLD?	113	5	York South-Weston	55 JOHN ST	M5V 3C6	M5V3C6	313744.813	4833807.949		JOHN ST	KING ST W	"MCMASTER, GERALD"	ACRYLIC ON CANVAS	1992	INDOORS
GLASS WALL	113	5	York South-Weston	55 JOHN ST	M5V 3C6	M5V3C6	313744.595	4833808.206		JOHN ST	FRONT ST E	"WALKER, PATTIE"	GLASS	1992	INDOORS
STRETCHING FROM MIND TO BODY	70	14	Toronto-Danforth	807A QUEEN ST E	M4M 1H8	M4M1H8	317253.965	4835351.187	JIMMIE SIMPSON PARK	QUEEN ST E	MC GEE ST	"MAYER, ROSA"	PAINTING	1993	OUTDOORS
UNDERPASS PROJECT	84	9	Davenport	67 SHIRLEY ST	M6K 1T2	M6K1T2	309688.998	4833982.271		LANSDOWNE AVE	SHIRLEY ST	"DYAN, MARIE"	"BRONZE, TERRAZZO, GLASS, ZINC"	1993	OUTDOORS
CAMPSITE FOUNDING	77	10	Spadina-Fort York	230 FRONT ST W	M5V 3G5	M5V3G5	313923.582	4833671.948	SIMCOE PARK	FRONT ST W	SIMCOE ST	"GOLDEN, BRAD & EICHENBERG, LYNNE"	MIXED METAL	1993	OUTDOORS
SITE (THE)	26	6	York Centre	1035 SHEPPARD AVE W	M3H 2M5	M3H2M5	307802.064	4845406.056		SHEPPARD AVE W	DUFFERIN ST	"STAMP, ARLENE"	GLASS MOSAIC TILE	1994	INDOORS
NORTHERN GATEWAY	105	8	Eglinton-Lawrence	3444 YONGE ST	M4N 2M9	M4N2M9	312454.227	4843585.694	YONGE BOULEVARD PARKETTE	YONGE ST	YONGE BLVD	"GOODMAN, JEFF"	"MIXED METAL, GRANITE"	1994	OUTDOORS
PROCESSION	127	21	Scarborough Centre	200 TOWN CENTRE CRT	M1P 4X8	M1P4X8	324357.94	4848015.295	ALBERT CAMPBELL SQUARE	BOROUGH DR	BOROUGH APPROACH E	"ROLLER, PETER"	GRANITE	1994	OUTDOORS
ERUPTION	127	21	Scarborough Centre	150 BOROUGH DR	M1P 4N6	M1P4N6	324381.802	4848002.026	ALBERT CAMPBELL SQUARE	BOROUGH DR	BOROUGH APPROACH E	"KARLOVS, JANIS"	GRANITE	1994	OUTDOORS
STONE FOR QUIET WATER	127	21	Scarborough Centre	60 BRIAN HARRISON WAY	M1P 5J4	M1P5J4	324274.533	4847984.906		BOROUGH DR	BOROUGH APPROACH E	"WOLD, KNUT"	GRANITE	1994	OUTDOORS
ODE TO THE SUN	127	21	Scarborough Centre	156 BOROUGH DR	M1P 4N7	M1P4N7	324360.776	4847791.617	FRANK FAUBERT WOODS PARK	BOROUGH DR	BOROUGH APPROACH E	"SCHREEFEL, ROB"	GRANITE	1994	OUTDOORS
FIBONACCI CADENZA	127	21	Scarborough Centre	1501 ELLESMERE RD	M1P 4N7	M1P4N7	324297.434	4847768.863	FRANK FAUBERT WOODS PARK	BOROUGH DR	BRIAN HARRISON WAY	"DRAVA, UGA"	GRANITE	1994	OUTDOORS
CLOUD SENSOR	127	21	Scarborough Centre	118 PACKARD BLVD	M1P 4L2	M1P4L2	324235.792	4847697.076	FRANK FAUBERT WOODS PARK	ELLESMERE RD	BOROUGH APPROACH W	"YAGI, YOSHIO"	MASONRY	1994	OUTDOORS
EARTH AND SKY	127	21	Scarborough Centre	120 BOROUGH DR	M1P 4W2	M1P4W2	324258.325	4847833.963		BOROUGH DR	BRIAN HARRISON WAY	"ROLLER, PETER"	GRANITE	1994	OUTDOORS
NATURAL DEVELOPMENT	127	21	Scarborough Centre	140 BOROUGH DR	M1P 4N7	M1P4N7	324256.53	4847859.705		BOROUGH DR	BRIAN HARRISON WAY	"MACHATA, PETER"	MASONRY	1994	OUTDOORS
COURT HOUSE SQUARE	75	13	Toronto Centre	10 COURT ST	M5C 2G1	M5C2G1	314833.697	4834291.581	COURTHOUSE SQUARE	COURT ST	TORONTO ST	"SCHELLE, SUSAN"	MASONRY	1994	OUTDOORS
STUDENT MURAL	113	5	York South-Weston	55 JOHN ST	M5V 3C6	M5V3C6	313745.157	4833807.482		JOHN ST	KING ST W	"OWEN, ANDREW"	PAINT ON DRYWALL	1994	INDOORS
ENTRANCE GATEWAY TO MEL LASTMAN SQUARE	38	18	Willowdale	5100 YONGE ST	M2N 5V7	M2N5V7	311805.259	4847302.399	MEL LASTMAN SQUARE	YONGE ST	HILLCREST AVE	"BAIRD, LYNDA & BAIRD, RON"	"STAINLESS STEEL, PAINTED"	1995	OUTDOORS
FIRE AND WATER	77	10	Spadina-Fort York	235 CIBOLA AVE	M5J 2W6	M5J2W6	316145.401	4831488.351	TORONTO ISLAND PARK	LAKESHORE AVE	CIBOLA AVE	"GORDON, PETERAN"	"BRONZE, GOLD LEAF"	1995	OUTDOORS
MOUNTAIN	77	10	Spadina-Fort York	230 FRONT ST W	M5V 3G5	M5V3G5	313908.95	4833660.309	SIMCOE PARK	FRONT ST W	SIMCOE ST	"KAPOOR, ANISH"	ALUMINUM	1995	OUTDOORS
ELEVATED WETLANDS	58	14	Toronto-Danforth	425 DON MILLS RD	M3B 3N8	M3B3N8	318273.075	4840018.9	TAYLOR CREEK PARK	DON MILLS RD	DON VALLEY PARKWAY	"HARDING, NOEL"	MIXED MATERIALS	1995	OUTDOORS
RAOUL WALLENBERG MEMORIAL	38	6	York Centre	4159 BATHURST ST	M3H 3P8	M3H3P8	309999.465	4845497.321	EARL BALES PARK	BATHURST ST	BAINBRIDGE AVE	"RAAB, ERNEST"	BRONZE	1996	OUTDOORS
LAKESHORE TRANSPORTATION HISTORY	19	3	Etobicoke-Lakeshore	56 EXMOOR DR	M8W 1R5	M8W1R5	301202.004	4827779.458		EXMOOR DR	LONGBRANCH LOOP	"STANLEY, STEPHEN"	PAINTING	1996	OUTDOORS
TIME AND A CLOCK	73	13	Toronto Centre	579 QUEEN ST E	M4M 1G4	M4M1G4	316538.114	4835114.227		QUEEN ST E	BAYVIEW AVE	"GARNET, ELDON"	"STAINLESS STEEL, CONCRETE"	1996	OUTDOORS
UNIVERSAL LINK (1997-1998)	82	10	Spadina-Fort York	100 PRINCES' BLVD	M6K 3C3	M6K3C3	311840.298	4832513.748		PRINCES' BLVD	CANADA BLVD	"MANN, WAYNE, OF KURTZ MANN INC."	LATEX AND ACRYLIC ON CONCRETE	1997	INDOORS
SOCIAL THEATRE I-VI	78	10	Spadina-Fort York	173 SPADINA AVE	M5T 2C3	M5T2C3	313133.293	4834142.444		SPADINA AVE	BULWER ST	"BERENICCI, RANDY"	STAINLESS STEEL	1997	OUTDOORS
IN ASIA: THE EAST: SPRING / EUROPE: THE WEST: AUTUMN	78	10	Spadina-Fort York	241 SPADINA AVE	M5T 3A8	M5T3A8	313060.499	4834394.754		SPADINA AVE	GRANGE AVE	"HLYNSKY, DAVID & YANOVER, SHIRLEY"	COLOURED FIBREGLASS	1997	OUTDOORS
FOWL PLAY	78	11	University-Rosedale	444 SPADINA AVE	M5T 2G8	M5T2G8	312863.647	4835045.216		SPADINA AVE	COLLEGE ST	"BURROWS, TOM"	ALUMINUM WIRE	1997	OUTDOORS
SUMMERTIME STREETCAR	102	8	Eglinton-Lawrence	124 WEMBLEY RD	M6C 2G6	M6C2G6	309911.819	4839782.495		WHITMORE AVE	PARK HILL RD	"ZELDIN, GERALD"	ENAMEL ON STEEL	1997	INDOORS
SUNDIAL FOLLY	77	10	Spadina-Fort York	109 QUEENS QUAY W	M5J 2S2	M5J2S2	314578.082	4832965.47	HARBOUR SQUARE PARK LANDS	QUEENS QUAY W	YORK ST	"T-ZERO DESIGNS (FUNG, JOHN & FIGUEIRDO, PAUL)"	"CONCRETE, COR-TEN STEEL, PLANTS, WATER, WOOD"	1997	OUTDOORS
SHORELINE	82	10	Spadina-Fort York	111 PRINCES' BLVD	M6K 3C3	M6K3C3	311800.237	4832448.992		PRINCES' BLVD	NEWFOUNDLAND RD	"CLAPSADDLE, JERRY"	MASONRY	1997	OUTDOORS
BONEY BUS	26	6	York Centre	1035 SHEPPARD AVE W	M3H 2M5	M3H2M5	307846.107	4845351.101		SHEPPARD AVE W	DUFFERIN ST	"MCKINNON, JOHN"	"STAINLESS STEEL, GRANITE"	1997	OUTDOORS
BURSA - PRIMARY TRAIL MARKER FOR PALACE PIER (1997-2017)	17	3	Etobicoke-Lakeshore	1A PALACE PIER CRT	M8V 2Z6	M8V2Z6	306975.132	4831997.927	PALACE PIER PARK	PALACE PIER CRT	LAKE SHORE BLVD W	"BRDAR, NICK"	PAINTED STEEL	1997	OUTDOORS
SWELL	18	3	Etobicoke-Lakeshore	25 ELEVENTH ST	M8V 3G2	M8V3G2	304174.423	4828133.145	ROTARY PARK	ELEVENTH ST	LAKE SHORE DR	"GREENWOOD, ROBIN/ LOVIN, JARLIE & PHILIPS, CAROL"	WOOD	1997	OUTDOORS
LINE OF TIME (THE)	15	3	Etobicoke-Lakeshore	44 MONTGOMERY RD	M9A 3N7	M9A3N7	303222.835	4834068.512	TOM RILEY PARK	MONTGOMERY RD	BELVEDERE BLVD	"HILTON MOORE, MARLENE"	BRONZE	1997	OUTDOORS
SWIMMER (THE)	15	3	Etobicoke-Lakeshore	50 MONTGOMERY RD	M8X 1Z4	M8X1Z4	303221.093	4834053.657	TOM RILEY PARK	MONTGOMERY RD	BELVEDERE BLVD	"REITZENSTEIN, REINHARD"	BRONZE	1997	OUTDOORS
YORK TIME CAPSULE	112	5	York South-Weston	2698 EGLINTON AVE W	M6M 1V1	M6M1V1	306590.102	4838672.373	CORONATION PARK (YORK)	EGLINTON AVE W	MUNICIPAL DR	W.H. SMITH MONUMENTS	MASONRY	1997	OUTDOORS
BLUE FIRE	68	14	Toronto-Danforth	425 CARLAW AVE	M4K 3H9	M4K3H9	317480.209	4836192.6	GERRARD/CARLAW TRAFFIC ISLAND	GERRARD ST E	CARLAW AVE	"REVINGTON, DERECK"	ALUMINUM	1997	OUTDOORS
HUMBER RIVER PEDESTRIAN/CYCLE BRIDGE	17	3	Etobicoke-Lakeshore	1 PALACE PIER CRT	M8V 2Z6	M8V2Z6	307104.909	4832214.096		LAKE SHORE BLVD W	LAKE SHORE BLVD WEST	"ENVIRONMENTAL ARTWORKS STUDIO- GOLDEN, BRAD & EICHENBERG, LYNNE"	"MIXED METAL, MASONRY"	1997	OUTDOORS
BLOOR PARKETTE	79	11	University-Rosedale	725 SPADINA AVE	M5S 2J4	M5S2J4	312567.213	4836071.099	MATT COHEN PARK	BLOOR ST W	SPADINA AVE	"SCHELLE, SUSAN/ GOMES, MARK"	"LIMESTONE, STAINLESS STEEL"	1997	OUTDOORS
"TO MARKET, TO MARKET/ HOME AGAIN, HOME AGAIN"	78	11	University-Rosedale	374 SPADINA AVE	M5T 2G4	M5T2G4	312926.425	4834793.246		SPADINA AVE	BALDWIN ST	"HLYNSKY, DAVID & YANOVER, SHIRLEY"	"ALUMINUM, RESIN, STEEL"	1997	OUTDOORS
GATEWAY MARKER	78	10	Spadina-Fort York	270 SPADINA AVE	M5T 2E5	M5T2E5	313020.771	4834505.111		SPADINA AVE	DUNDAS ST W	"CHEN, MILLIE & QUIGLEY, WARREN"	COLOURED FIBREGLASS	1997	OUTDOORS
"UNIFORM, MEASURE, STACK"	77	10	Spadina-Fort York	146 SPADINA AVE	M5V 1X9	M5V1X9	313149.138	4834008.595		RICHMOND ST W	SPADINA AVE	"CRUISE, STEPHEN"	"BRONZE, COLOURED CONCRETE"	1997	OUTDOORS
PLACES IN A BOOK	79	11	University-Rosedale	650 SPADINA AVE	M5S 2H7	M5S2H7	312642.404	4835696.816		SPADINA AVE	HARBORD ST	"CRUISE, STEPHEN"	BRONZE	1997	OUTDOORS
HALL OF NAMES	82	10	Spadina-Fort York	100 PRINCES' BLVD	M6K 3C3	M6K3C3	311840.522	4832514.624		PRINCES' BLVD	CANADA BLVD	"LEXIER, MICAH"	STAINLESS STEEL	1997	INDOORS
MEMORY BANKS	80	11	University-Rosedale	460 CRAWFORD ST	M6G 3J6	M6G3J6	311248.859	4834984.212		CRAWFORD ST	DEWSON ST	"LEROUX, JOHN"	MASONRY	1998	OUTDOORS
EMPRESS COLLONETTES	51	18	Willowdale	293 DORIS AVE	M2N 3Y2	M2N3Y2	311901.995	4847775.262	MCKENZIE JOHN PARKETTE	PARKVIEW AVE	DORIS AVE	"BERENICCI, RANDY"	COPPER PLATE	1998	OUTDOORS
JOSE RIZAL MEMORIAL	38	6	York Centre	4169 BATHURST ST	M3H 3P8	M3H3P8	310081.685	4845651.318	EARL BALES PARK	BATHURST ST	REINER RD	"CAEDE, F.B."	"BRONZE, MASONRY"	1998	OUTDOORS
VICTORY PEACE	82	10	Spadina-Fort York	781 LAKE SHORE BLVD W	M6K 3C3	M6K3C3	312358.93	4832353.424	CORONATION PARK	LAKE SHORE BLVD W	STRACHAN AVE	"MCEWAN, JOHN"	"BRONZE, MASONRY"	1998	OUTDOORS
ONE HUNDRED LINKS EQUALS ONE CHAIN	37	18	Willowdale	40 PARK HOME AVE	M2N 1W5	M2N1W5	311535.89	4847422.939	GIBSON PARK	PARK HOME AVE	BEECROFT RD	"CRUISE, STEPHEN"	MIXED METAL	1998	OUTDOORS
DANCE (THE)	51	18	Willowdale	5089 YONGE ST	M4Y 1X9	M4Y1X9	311821.477	4847346.814		YONGE ST	HILLCREST AVE	"SPRACHMAN, ROBERT"	PAINTED STEEL	1998	OUTDOORS
GREEK MONUMENT	59	14	Toronto-Danforth	170 MEMORIAL PARK AVE	M4J 2K5	M4J2K5	318463.395	4838891.594	TRUE DAVIDSON PARK	MEMORIAL PARK AVE	ROOSEVELT RD	UNKNOWN	GRANITE	2000	OUTDOORS
FALLEN FIRE FIGHTERS MEMORIAL	77	10	Spadina-Fort York	339 QUEENS QUAY W	M5V 3A7	M5V3A7	313792.816	4832852.553	HTO PARK	QUEENS QUAY W	REES ST	"VANDERGAAST, YOLANDA"	"BRONZE, MASONRY"	2000	OUTDOORS
TIMETRACK	37	18	Willowdale	250 BEECROFT RD	M2N 6W3	M2N6W3	311317.175	4847575.278	DEMPSEY PARK	BEECROFT RD	ELLERSLIE AVE	"CHEN, MILLE & QUIGLEY, WARREN"	BRONZE	2000	OUTDOORS
CIRCLE OF TREES	63	19	Beaches-East York	1141 EASTERN AVE	M4L 1G5	M4L1G5	319709.571	4835901.278	WOODBINE PARK	COXWELL AVE	EASTERN AVE	"MCGUGAN, LAURIE"	"BRONZE, TREES"	2000	OUTDOORS
THE WORKERS MONUMENT (100 WORKERS & ANONYMITY OF PREVENTION)	77	10	Spadina-Fort York	230 FRONT ST W	M5V 3G5	M5V3G5	313948.025	4833637.522	SIMCOE PARK	FRONT ST W	SIMCOE ST	"SCOTT, JOHN/ LO, DEREK/ WINKLER, LANA"	"BRONZE, GRANITE"	2001	OUTDOORS
C. W. JEFFEREYS MEMORIAL	41	15	Don Valley West	1 OLD YONGE ST	M4N 2P2	M4N2P2	312535.821	4844347.169	YORK MILLS VALLEY PARK	OLD YONGE ST	BROOKFIELD RD	"ALISON, ADRIENNE"	"BRONZE, GRANITE"	2001	OUTDOORS
"CIRCLE OF WORDS, GARDEN OF THOUGHT"	24	7	Humber River-Black Creek	4401 JANE ST	M3N 2K3	M3N2K3	303272.839	4847105.552	EDGELEY PARK	JANE ST	MILO PARK GATE	"COVIN, LINDA"	MASONRY	2001	OUTDOORS
THIRD GARDEN (THE)	18	3	Etobicoke-Lakeshore	3154 LAKE SHORE BLVD W	M8V 1L5	M8V1L5	303442.69	4828467.886		LAKE SHORE BLVD W	KIPLING AVE	"CHEN, MILLE & QUIGLEY, WARREN"	PAINTED STEEL	2001	OUTDOORS
I LOOKED FOR SARAH EVERYWHERE	75	13	Toronto Centre	169 ADELAIDE ST E	M5C 1K9	M5C1K9	314996.959	4834377.435	ST. JAMES PARK	ADELAIDE ST E	JARVIS ST	"BOYER, GILBERT"	"MASONRY, STEEL"	2001	OUTDOORS
INUKSHUK SCULPTURE	82	10	Spadina-Fort York	789 LAKE SHORE BLVD W	M6K 3C3	M6K3C3	312107.697	4832257.52	THE TORONTO INUKSHUK PARK	LAKE SHORE BLVD W	NEWFOUNDLAND RD	"QIMIRPIK, KELLYPALIK"	ROSE GRANITE	2002	OUTDOORS
AMPERSAND	52	17	Don Valley North	1240 SHEPPARD AVE E	M2K 2W1	M2K2W1	315671.882	4847699.914		SHEPPARD AVE E	LESLIE ST	"LEXIER, MICAH"	CUSTOM PRINTED PORCELAIN TILE	2002	OUTDOORS
BEFORE/AFTER	47	17	Don Valley North	2500 DON MILLS RD	M2J 3B3	M2J3B3	317046.13	4848147.394		SHEPPARD AVE E	DON MILLS RD	"CRUISE, STEPHEN"	MIXED MEDIA	2002	INDOORS
FROM HERE RIGHT NOW	52	17	Don Valley North	550 SHEPPARD AVE E	M2K 3C8	M2K3C8	313818.304	4847246.679		BAYVIEW AVE	MALLINGHAM CRT	"ESPINAL, PANYA CLARK"	"CERAMIC TILE, TERRAZZO"	2002	INDOORS
PASSING	52	17	Don Valley North	730 SHEPPARD AVE E	M2K 1C4	M2K1C4	314742.335	4847531.573		SHEPPARD AVE E	BURBANK DR	"BELANGER, SYLVIE"	CERAMIC TILE	2002	OUTDOORS
IMMERSION LAND	38	18	Willowdale	2 SHEPPARD AVE W	M2N 5M9	M2N5M9	311923.905	4846637.031		YONGE ST	SHEPPARD AVE E	"SPIEGEL, STACEY"	PORCELAIN TILE	2002	INDOORS
AL WAXMAN	78	11	University-Rosedale	5 BELLEVUE AVE	M5T 2N4	M5T2N4	312620.026	4834614.959	BELLEVUE SQUARE	BELLEVUE AVE	DENISON SQ	"ABERNETHY, RUTH"	BRONZE	2002	OUTDOORS
PASSAGE	123	20	Scarborough Southwest	1 MEADOWCLIFFE DR	M1M 2X9	M1M2X9	327846.559	4842829.107	SYLVAN PARK/GATES GULLY	DORIS MCCARTHY TRAIL	MEADOWCLIFFE DR	"HILTON MOORE, MARLENE"	STEEL	2002	OUTDOORS
GARDINER EAST DISMANTLING	70	14	Toronto-Danforth	979 LAKE SHORE BLVD E	M4M 1B4	M4M1B4	318384.315	4835151.142		LAKE SHORE BLVD E	BERKSHIRE AVE	"MCKINNON, JOHN"	BRONZE	2003	OUTDOORS
ROBERT GOURLAY	75	13	Toronto Centre	120 KING ST E	M5C 1G6	M5C1G6	315029.655	4834319.076	ST. JAMES PARK	KING ST. E.	JARVIS ST.	"ALISON, ADRIENNE"	"BRONZE, GRANITE"	2004	OUTDOORS
JOHNNY LOMBARDI	81	11	University-Rosedale	643 COLLEGE ST	M6G 1B7	M6G1B7	311593.628	4834757.797	GRACE/COLLEGE PARKETTE	GRACE ST	LN S COLLEGE W GRACE	"DAM DE NOGALES, EDWINA DN VERONICA"	"BRONZE, CONCRETE"	2004	OUTDOORS
CHINESE LIONS	70	14	Toronto-Danforth	573 GERRARD ST E	M4M 1X9	M4M1X9	316613.171	4835931.44		GERRARD ST E	HAMILTON ST	UNKNOWN	MARBLE	2004	OUTDOORS
ERRATIC BOULDER	80	11	University-Rosedale	739 BLOOR ST W	M6G 1L6	M6G1L6	311160.425	4835806.434	CHRISTIE PITS	BLOOR ST W	MONTROSE AVE	"DOYLE, MAURA"	GRANITE	2004	OUTDOORS
ALEXANDER WOOD	75	13	Toronto Centre	66 ALEXANDER ST	M4Y 1B2	M4Y1B2	314434.366	4835757.693		CHURCH ST	ALEXANDER ST	"NEWBIGGING, DEL"	"BRONZE, GRANITE"	2005	OUTDOORS
REACHING FOR THE CLOUD	95	11	University-Rosedale	862 YONGE ST	M4W 2J1	M4W2J1	313799.311	4836703.502	TOWN HALL SQUARE PARK	SCOLLARD ST	YONGE ST	"MORIN, JEAN-PIERRE"	"ALUMINUM, COR-TEN STEEL"	2005	OUTDOORS
GEORGE FALUDY PLACE	76	13	Toronto Centre	26 ST MARY ST	M4Y 2S8	M4Y2S8	313885.79	4836212.468		ST MARY ST	ST NICHOLAS ST	"DE-PEDERY-HUNT, DORA"	"BRONZE, MASONRY"	2006	OUTDOORS
KIDS PLAY	52	17	Don Valley North	1209 SHEPPARD AVE E	M2K 1E2	M2K1E2	315452.818	4847700.455		SHEPPARD AVE E	OLD LESLIE ST	"WRIGLEY, BILL"	PAINT ON CONCRETE	2006	OUTDOORS
GWENDOLYN MACEWEN MEMORIAL	95	11	University-Rosedale	33 WALMER RD	M5R 2X4	M5R2X4	312349.225	4836320.339	GWENDOLYN MACEWEN PARKETTE	LOWTHER AVE	WALMER RD	"REYNOLDS, J.M."	"BRONZE, GRANITE"	2006	OUTDOORS
MOTH GARDEN	26	6	York Centre	1092 WILSON AVE	M3M 1G7	M3M1G7	306269.048	4842805.593	DOWNSVIEW MEMORIAL PARKETTE	WILSON AVE	KEELE ST	"THIB, JEANNIE/ TORRANCE, SCOTT"	MIXED MEDIA	2006	OUTDOORS
EVOLUTION UNROLLING	82	10	Spadina-Fort York	945 KING ST W	M6K 3M8	M6K3M8	311764.164	4833279.218	MASSEY HARRIS PARK	KING ST W	CRAWFORD ST	"MCCLEOD, JAMES"	STAINLESS STEEL	2006	OUTDOORS
AL PURDY	76	11	University-Rosedale	110 WELLESLEY ST W	M7A 1A2	M7A1A2	313509.85	4835935.48	QUEEN'S PARK	QUEENS PARK CRES E	ST JOSEPH ST	"DAM DE NOGALES, EDWINA DN VERONICA"	BRONZE	2008	OUTDOORS
FRONTIER	83	9	Davenport	82 PERTH AVE	M6R 2C2	M6R2C2	308893.242	4834936.501	CP-PS LEAD	PERTH AVE	BLOOR ST W	"DICKSON, JOHN"	GALVANIZED STEEL	2009	OUTDOORS
RETICULATED GAMBOL	137	24	Scarborough-Guildwood	112 CORPORATE DR	M1H 1W2	M1H1W2	325208.448	4848804.361	LEE CENTRE PARK	CORPORATE DR	LEE CENTRE DR	"GIROUX, CHRISTIAN & YOUNG, DANIEL"	PAINTED STEEL	2009	OUTDOORS
FOREST WALK	36	18	Willowdale	"125 HOMEWOOD AVE, TO"	M4Y 2X4	M4Y2X4	314803.834	4836155.541	WELLESLEY MAGILL PARK	WELLESLEY ST E	HOMEWOOD AVE	"PIEN, ED"	"STEEL, GLASS, LED LIGHTS"	2010	OUTDOORS
CANOE LANDING	77	10	Spadina-Fort York	56 DAN LECKIE WAY	M5V 2V6	M5V2V6	313117.258	4832958.273	CANOE LANDING	DAN LECKIE WAY	FORT YORK BLVD	"COUPLAND, DOUGLAS"	"POLYURETHANE FOAM, PAINT"	2010	OUTDOORS
BREAKING GROUND (HOGG'S HOLLOW DISASTER QUILT)	40	15	Don Valley West	16 YORK MILLS RD	M2P 2G4	M2P2G4	312453.759	4844732.317		YORK MILLS RD	YONGE ST	"SWIM, LAURIE"	TEXTILE	2010	OUTDOORS
PERPETUAL MOTION	82	10	Spadina-Fort York	70 EAST LIBERTY ST	M6K 3K7	M6K3K7	311649.408	4832971.451	LIBERTY VILLAGE PARK	PIRANDELLO ST	EAST LIBERTY ST	"GAZITUA, FRANCISCO"	PAINTED STEEL	2011	OUTDOORS
LIGHT SHOWERS	77	10	Spadina-Fort York	190 QUEENS QUAY E	M5A 3Y4	M5A3Y4	315661.29	4833735.449	SHERBOURNE COMMON	QUEENS QUAY E	LOWER SHERBOURNE ST	"ANHOLT, JILL"	"MIXED METAL, WATER"	2011	OUTDOORS
BIKE PLANTS	36	18	Willowdale	1 KENTON DR	M2R 2H6	M2R2H6	309322.115	4848378.583		BATHURST ST	KENTON DR	"EUNSON, SCOTT & LOVINK, MARIANNE"	COR-TEN STEEL	2011	OUTDOORS
VESSEL (THE)	95	11	University-Rosedale	40 BEDFORD RD	M5R 2J9	M5R2J9	312964.036	4836456.651	TADDLE CREEK PARK	LOWTHER AVE	BEDFORD RD	"SANDLER, ILAN"	"STAINLESS STEEL ROD, WATER"	2011	OUTDOORS
MEADOW	97	12	Toronto-St. Paul's	2 ST CLAIR AVE W	M4V 1L5	M4V1L5	313287.882	4838485.921		ST CLAIR AVE W	YONGE ST	"BOWYER, PETER"	STAINLESS STEEL	2011	OUTDOORS
SCENIC ROUTE	96	12	Toronto-St. Paul's	155 ST CLAIR AVE W	M4V 0A1	M4V0A1	312691.977	4838262.021		ST CLAIR AVE W	AVENUE RD	"CESTA, CARLO"	POWDER COATED ALUMINUM	2011	OUTDOORS
GENERATIONS	92	9	Davenport	1351 ST CLAIR AVE W	M6E 1C5	M6E1C5	308759.838	4837117.417		ST CLAIR AVE W	LANSDOWNE AVE	"ESPINAL, PANYA CLARK"	POWDER COATED ALUMINUM	2011	OUTDOORS
MEETING	96	12	Toronto-St. Paul's	223 ST CLAIR AVE W	M4V 1R3	M4V1R3	312464.904	4838196.268		ST CLAIR AVE W	DUNVEGAN RD	"ESPINAL, PANYA CLARK"	POWDER COATED ALUMINUM	2011	OUTDOORS
ORIGAMI REMIX	92	9	Davenport	1176 ST CLAIR AVE W	M6E 1B4	M6E1B4	309321.682	4837350.86		ST CLAIR AVE W	DUFFERIN ST	"SCHWARTZ, JUDITH"	STAINLESS STEEL	2011	OUTDOORS
WEATHER SAMPLER	96	12	Toronto-St. Paul's	300 ST CLAIR AVE W	M4V 1S4	M4V1S4	311981.184	4838129.155		ST CLAIR AVE W	SPADINA RD	"SCHWARTZ, JUDITH"	STAINLESS STEEL	2011	OUTDOORS
ICING	94	12	Toronto-St. Paul's	504 ST CLAIR AVE W	M6C 1A2	M6C1A2	311332.065	4837933.121		ST CLAIR AVE W	BATHURST ST	"HORTON, KRISTAN"	POWDER COATED ALUMINUM	2011	OUTDOORS
BRICK WORKS- THE BODY SPEAKS TO US	94	12	Toronto-St. Paul's	535 ST CLAIR AVE W	M6C 1A3	M6C1A3	311224.151	4837847.722		ST CLAIR AVE W	VAUGHAN RD	"LAMMERICH, YVONNE"	MIXED MEDIA	2011	OUTDOORS
MOON TRANSIT	94	12	Toronto-St. Paul's	684 ST CLAIR AVE W	M6C 1B1	M6C1B1	310772.433	4837779.509		ST CLAIR AVE W	CHRISTIE ST	"THIB, JEANNIE"	GLASS	2011	OUTDOORS
"HERE TODAY, GONE TOMORROW"	92	9	Davenport	1277 ST CLAIR AVE W	M6E 1B8	M6E1B8	309045.514	4837198.296		ST CLAIR AVE W	EARLSCOURT AVE	"MCCUBBIN, SALLY"	GLASS	2011	OUTDOORS
